"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","url"
"948","13","text","0","948","0.0-0.0","",""
"2104","","survey-text","1","4060","0.0-1.0","{""Q0"":""111""}",""
"","","call-function","2","4061","0.0-2.0","",""
"3560","","html","3","7633","0.0-3.0","","real_consent.html"
"662","13","text","4","9296","0.0-4.0","",""
"319","13","text","5","10617","0.0-5.0","",""
"699","13","text","6","12316","0.0-6.0","",""
"997","13","text","7","14313","0.0-7.0","",""
"522","13","text","8","15836","0.0-8.0","",""
"861","13","text","9","17697","0.0-9.0","",""
"325","13","text","10","19023","0.0-10.0","",""
"2600","","survey-text","11","22629","0.0-11.0","{""Q0"":""111""}",""
"2681","","survey-multi-choice","12","26313","0.0-12.0","{""Q0"":""Female""}",""
"755","","survey-multi-choice","13","28073","0.0-13.0","{}",""
"965","","survey-text","14","30041","0.0-14.0","{""Q0"":""""}",""
"325","","survey-text","15","31368","0.0-15.0","{""Q0"":""""}",""
"301","","survey-text","16","32672","0.0-16.0","{""Q0"":""""}",""
"405","","survey-text","17","34079","0.0-17.0","{""Q0"":""""}",""
"405","","survey-text","18","35485","0.0-18.0","{""Q0"":""""}",""
"992","13","text","19","37479","0.0-19.0","",""
"641","13","text","20","39121","0.0-20.0","",""
"308","13","text","21","40430","0.0-21.0","",""
"2265","","survey-text","22","43698","0.0-22.0","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":""""}",""
