"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","url","stimulus","button_pressed","answer"
"4207","13","text","0","4209","0.0-0.0","","","","",""
"7618","","survey-text","1","12837","0.0-1.0","{""Q0"":""This is running PHP""}","","","",""
"","","call-function","2","12837","0.0-2.0","","","","",""
"2622","","html","3","15479","0.0-3.0","","real_consent.html","","",""
"1177","13","text","4","17657","0.0-4.0","","","","",""
"2007","13","text","5","20666","0.0-5.0","","","","",""
"814","13","text","6","22480","0.0-6.0","","","","",""
"1970","13","text","7","25453","0.0-7.0","","","","",""
"-1","-1","single-stim","8","26955","0.0-8.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","9","28957","0.0-9.0","","","practiceimages/rabbit2.png","",""
"556","","button-response","10","30517","0.0-10.0","","","","0",""
"-1","-1","single-stim","11","32020","0.0-11.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","12","34021","0.0-12.0","","","practiceimages/cat1.jpg","",""
"3695","","button-response","13","38718","0.0-13.0","","","","0",""
"-1","-1","single-stim","14","40221","0.0-14.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","15","42224","0.0-15.0","","","practiceimages/bird2.jpg","",""
"443","","button-response","16","43670","0.0-16.0","","","","0",""
"-1","-1","single-stim","17","45172","0.0-17.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","18","47173","0.0-18.0","","","practiceimages/rabbit1.jpg","",""
"485","","button-response","19","48661","0.0-19.0","","","","0",""
"-1","-1","single-stim","20","50163","0.0-20.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","21","52165","0.0-21.0","","","practiceimages/bird1.jpg","",""
"1017","","button-response","22","54183","0.0-22.0","","","","0",""
"-1","-1","single-stim","23","55687","0.0-23.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","24","57689","0.0-24.0","","","practiceimages/dog2.jpg","",""
"405","","button-response","25","59096","0.0-25.0","","","","0",""
"-1","-1","single-stim","26","60598","0.0-26.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
