"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","url"
"867","13","text","0","870","0.0-0.0","",""
"3054","","survey-text","1","4929","0.0-1.0","{""Q0"":""ffff""}",""
"","","call-function","2","4929","0.0-2.0","",""
"3282","","html","3","8234","0.0-3.0","","real_consent.html"
"942","13","text","4","10177","0.0-4.0","",""
"249","13","text","5","11427","0.0-5.0","",""
"344","13","text","6","12773","0.0-6.0","",""
"420","13","text","7","14193","0.0-7.0","",""
"438","13","text","8","15631","0.0-8.0","",""
"362","13","text","9","16994","0.0-9.0","",""
"308","13","text","10","18302","0.0-10.0","",""
"2070","","survey-text","11","21375","0.0-11.0","{""Q0"":""111""}",""
"1706","","survey-multi-choice","12","24085","0.0-12.0","{""Q0"":""Male""}",""
"1905","","survey-multi-choice","13","26995","0.0-13.0","{""Q0"":""Hispanic or Latino""}",""
"2048","","survey-text","14","30045","0.0-14.0","{""Q0"":""22""}",""
"845","","survey-text","15","31892","0.0-15.0","{""Q0"":""22""}",""
"1072","","survey-text","16","33965","0.0-16.0","{""Q0"":""22""}",""
"953","","survey-text","17","35921","0.0-17.0","{""Q0"":""22""}",""
"941","","survey-text","18","37864","0.0-18.0","{""Q0"":""22""}",""
"844","13","text","19","39708","0.0-19.0","",""
"99","13","text","20","40808","0.0-20.0","",""
"340","13","text","21","42149","0.0-21.0","",""
"2389","","survey-text","22","45541","0.0-22.0","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":""""}",""
