"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","url"
"987","13","text","0","989","0.0-0.0","",""
"11655","","survey-text","1","13649","0.0-1.0","{""Q0"":""no_learning""}",""
"","","call-function","2","13650","0.0-2.0","",""
"3111","","html","3","16778","0.0-3.0","","real_consent.html"
"1112","13","text","4","18892","0.0-4.0","",""
"512","13","text","5","20406","0.0-5.0","",""
"762","13","text","6","22168","0.0-6.0","",""
"535","13","text","7","23704","0.0-7.0","",""
"669","13","text","8","25374","0.0-8.0","",""
"527","13","text","9","26902","0.0-9.0","",""
"325","13","text","10","28230","0.0-10.0","",""
"3462","","survey-text","11","32696","0.0-11.0","{""Q0"":""999""}",""
"1859","","survey-multi-choice","12","35559","0.0-12.0","{""Q0"":""Prefer not to say""}",""
"1835","","survey-multi-choice","13","38399","0.0-13.0","{""Q0"":""Asian""}",""
"1625","","survey-text","14","41025","0.0-14.0","{""Q0"":""999""}",""
"1075","","survey-text","15","43102","0.0-15.0","{""Q0"":""999""}",""
"1068","","survey-text","16","45176","0.0-16.0","{""Q0"":""999""}",""
"1002","","survey-text","17","47181","0.0-17.0","{""Q0"":""999""}",""
"1122","","survey-text","18","49304","0.0-18.0","{""Q0"":""999""}",""
"938","13","text","19","51243","0.0-19.0","",""
"653","13","text","20","52897","0.0-20.0","",""
"619","13","text","21","54518","0.0-21.0","",""
"11333","","survey-text","22","66855","0.0-22.0","{""Q0"":""111"",""Q1"":""111"",""Q2"":""111"",""Q3"":""111"",""Q4"":""111"",""Q5"":""111"",""Q6"":""111"",""Q7"":""111"",""Q8"":""111"",""Q9"":""111""}",""
