"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","url"
"117332","13","text","0","117334","0.0-0.0","",""
"16916","","survey-text","1","135259","0.0-1.0","{""Q0"":""qazasd""}",""
"","","call-function","2","135260","0.0-2.0","",""
"2735","","html","3","138028","0.0-3.0","","real_consent.html"
"862","13","text","4","139890","0.0-4.0","",""
"218","13","text","5","141109","0.0-5.0","",""
"132","13","text","6","142242","0.0-6.0","",""
"727","13","text","7","143969","0.0-7.0","",""
"461","13","text","8","145431","0.0-8.0","",""
"406","13","text","9","146839","0.0-9.0","",""
"396","13","text","10","148235","0.0-10.0","",""
"2819","","survey-text","11","152055","0.0-11.0","{""Q0"":""122""}",""
"1994","","survey-multi-choice","12","155053","0.0-12.0","{""Q0"":""Female""}",""
"1492","","survey-multi-choice","13","157548","0.0-13.0","{""Q0"":""Black or African American""}",""
"3540","","survey-text","14","162089","0.0-14.0","{""Q0"":""111""}",""
"1335","","survey-text","15","164426","0.0-15.0","{""Q0"":""22""}",""
"1087","","survey-text","16","166515","0.0-16.0","{""Q0"":""122""}",""
"1100","","survey-text","17","168617","0.0-17.0","{""Q0"":""22""}",""
"1259","","survey-text","18","170877","0.0-18.0","{""Q0"":""22""}",""
"626","13","text","19","172503","0.0-19.0","",""
"247","13","text","20","173752","0.0-20.0","",""
"155","13","text","21","174909","0.0-21.0","",""
"1834","","survey-text","22","177748","0.0-22.0","{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":"""",""Q5"":"""",""Q6"":"""",""Q7"":"""",""Q8"":"""",""Q9"":""""}",""
